"Date
(YY:MM:DD)","Time
(HH:MM:SS)","Time
(µs)","Ax
(m/s^2)","Ay
(m/s^2)","Az
(m/s^2)","Gx
(deg/s)","Gy
(deg/s)","Gz
(deg/s)",label
05-12-22,16:58:32,979695,2.3080104,0.402225879,10.91037697,-0.06870229,0.770992366,-1.450381679,0
05-12-22,16:58:33,194647,1.091755957,0.49081134,9.27274303,0,-0.190839695,-0.72519084,0
05-12-22,16:58:33,410562,0.873883606,0.251391174,9.255983618,0.099236641,-0.221374046,-0.916030534,0
05-12-22,16:58:33,623557,1.467645618,0.260967981,9.050082275,0.015267176,0.435114504,-0.496183206,0
05-12-22,16:58:33,838478,0.732625708,0.339976636,10.33816277,0.106870229,-0.13740458,-1.038167939,0
05-12-22,16:58:34,53195,-5.272032056,2.782062329,11.92073007,0.213740458,-3.106870229,1.748091603,0
05-12-22,16:58:34,266334,2.269703174,-0.885854614,8.741230261,0.114503817,3.557251908,-3.244274809,0
05-12-22,16:58:34,482809,-0.610521423,1.661575952,11.27429562,-0.076335878,-1.778625954,-0.435114504,0
05-12-22,16:58:34,695937,1.486799231,-0.15801731,9.79228479,-0.007633588,0.305343511,-0.076335878,0
05-12-22,16:58:34,909270,-1.951274353,1.88902511,12.19127485,0.13740458,-4.236641221,0.557251908,0
05-12-22,16:58:35,122450,0.495599744,0.46208092,9.92157168,0.015267176,-0.145038168,-0.969465649,0
05-12-22,16:58:35,336693,-0.785298145,-2.094926453,11.49695637,0.160305344,-3.366412214,-3.13740458,0
05-12-22,16:58:35,550345,1.513135449,1.529894861,10.5273047,-0.198473282,0.694656489,-0.511450382,0
05-12-22,16:58:35,763147,-0.924161841,1.120486377,11.97819091,0.145038168,-4.625954198,-0.58778626,0
05-12-22,16:58:35,977550,1.359906543,0.328005627,6.572083557,0.015267176,-1.946564885,-0.503816794,0
05-12-22,16:58:36,191115,1.335964526,0.665588062,11.57835923,0.351145038,-2.65648855,-1.519083969,0
05-12-22,16:58:36,405383,0.600944617,0.05746084,9.76355437,1.946564885,-0.305343511,-1.419847328,0
05-12-22,16:58:36,618251,-2.238578552,1.244984863,11.17373915,-0.099236641,-0.06870229,1.335877863,0
05-12-22,16:58:36,831676,-1.527500659,1.142034192,11.8225678,0.053435115,-5.65648855,0.86259542,0
05-12-22,16:58:37,44379,1.048660327,-1.453280408,8.398859424,0.190839695,-0.34351145,-2.809160305,0
05-12-22,16:58:37,257659,3.270479468,-0.878672009,7.987056738,-0.038167939,0.595419847,-2.267175573,0
05-12-22,16:58:37,471450,-2.712630481,1.005564697,10.31182655,0.13740458,-3.870229008,0.65648855,0
05-12-22,16:58:37,686581,-0.469263525,0.600944617,10.23042369,0.099236641,-1.786259542,-0.244274809,0
05-12-22,16:58:37,899207,2.087743848,0.469263525,10.94868419,0,0.732824427,-1.114503817,0
05-12-22,16:58:38,112051,1.170764612,-0.019153613,10.07958899,-0.213740458,2.893129771,-1.977099237,0
05-12-22,16:58:38,327400,-1.544260071,0.878672009,9.727641345,-0.038167939,-0.580152672,-0.854961832,0
05-12-22,16:58:38,539781,0.318428821,0.105344873,11.85848082,0.190839695,-0.740458015,-0.86259542,0
05-12-22,16:58:38,752794,0.320823022,-0.105344873,9.308656055,0.297709924,-1.770992366,-0.954198473,0
05-12-22,16:58:38,965542,0.031124622,0.665588062,12.62941376,-0.213740458,1.610687023,-0.854961832,0
05-12-22,16:58:39,178133,0.639251843,0.543483777,10.02931075,0.152671756,-0.13740458,-1.27480916,0
05-12-22,16:58:39,391076,-0.189141931,0.033518823,10.54406411,0.13740458,-3.236641221,-0.511450382,0
05-12-22,16:58:39,602852,-1.987187378,1.292868896,10.92953058,0.106870229,-4.236641221,0.702290076,0
05-12-22,16:58:39,815239,1.70227738,0.167594116,8.743624463,0.145038168,0.763358779,-0.083969466,0
05-12-22,16:58:40,28315,0.632069238,0.371101257,9.30147345,0.045801527,0.816793893,-1.129770992,0
05-12-22,16:58:40,240557,2.42293208,0.045489832,9.227253198,0.061068702,3.854961832,-3.06870229,0
05-12-22,16:58:40,453393,0.553060583,0.440533105,9.873687646,0.190839695,0.007633588,-0.458015267,0
05-12-22,16:58:40,666163,-1.956062756,0.162805713,12.22239948,0.099236641,-4.27480916,-1.526717557,0
05-12-22,16:58:40,879023,3.584119885,0.938527051,7.829039429,-0.053435115,1.061068702,-0.580152672,0
05-12-22,16:58:41,91868,-0.739808313,0.1436521,11.25993041,0.145038168,-1.038167939,-1.595419847,0
05-12-22,16:58:41,304388,0.423773694,0.864306799,9.861716638,0.297709924,-5.519083969,0.236641221,0
05-12-22,16:58:41,517509,-1.043871924,0.08619126,8.245630518,0.366412214,-2.038167939,-0.870229008,0
05-12-22,16:58:41,730352,1.460463013,0.622492432,10.44111344,-0.236641221,-1.045801527,-1.290076336,0
05-12-22,16:58:41,943181,4.467580298,-0.938527051,6.998251453,0.175572519,4.328244275,-1.824427481,0
05-12-22,16:58:42,155941,-0.076614453,0.624886633,9.897629663,0.160305344,-1.885496183,-1.335877863,0
05-12-22,16:58:42,368581,0.849941589,0.153228906,8.444349255,0.41221374,-0.770992366,-2.053435115,0
05-12-22,16:58:42,581734,-1.295263098,1.302445703,10.30703815,-0.106870229,-1.847328244,-0.549618321,0
05-12-22,16:58:42,794884,1.467645618,-0.026336218,9.069235889,0.427480916,-1.839694656,-1.20610687,0
05-12-22,16:58:43,7979,2.669534851,0.991199487,6.447585071,0,6.435114504,0.770992366,0
05-12-22,16:58:43,220719,-5.176263989,2.200271326,11.07557688,0.511450382,-13.36641221,-3.190839695,0
05-12-22,16:58:43,433466,-0.174776721,0.122104285,9.176974963,-0.091603053,1.442748092,-1.099236641,0
05-12-22,16:58:43,646420,-2.894589807,-0.299275208,10.07719479,0.160305344,-3.534351145,-1.557251908,0
05-12-22,16:58:43,859484,-2.248155359,-1.163582007,8.121132031,0.06870229,-0.038167939,-1.893129771,0
05-12-22,16:58:44,72748,-0.73501991,0.660799658,10.33098016,-0.06870229,-0.366412214,-0.954198473,0
05-12-22,16:58:44,285357,-1.489193433,-0.675164868,11.04684646,0.152671756,-1.778625954,-1.34351145,0
05-12-22,16:58:44,498244,-1.754949817,-0.940921252,10.14662664,-0.030534351,-2.053435115,-2.282442748,0
05-12-22,16:58:44,710304,-0.780509741,-1.010353101,10.50336268,-0.13740458,-1.671755725,-1.763358779,0
05-12-22,16:58:44,923657,0.794874951,0.016759412,9.488221179,0.190839695,-0.27480916,-1.358778626,0
05-12-22,16:58:45,136606,2.621650818,1.079784949,9.291896643,0.290076336,0.984732824,-0.572519084,0
05-12-22,16:58:45,349178,2.616862415,1.692700574,9.785102185,0.259541985,1.053435115,0.145038168,0
05-12-22,16:58:45,562576,0.553060583,0.287304199,10.02691655,0.320610687,0.358778626,-0.633587786,0
05-12-22,16:58:45,775465,0.270544788,0.395043274,10.13704983,0.007633588,0.65648855,-1.473282443,0
05-12-22,16:58:45,988502,-0.232237561,-0.179565125,10.40280621,-0.305343511,-0.465648855,-1.977099237,0
05-12-22,16:58:46,202255,0.251391174,0.53390697,10.08677159,0.038167939,-1.511450382,-0.870229008,0
05-12-22,16:58:46,415500,1.572990491,0.656011255,9.409212524,0.27480916,0.297709924,-0.86259542,0
05-12-22,16:58:46,641019,-0.301669409,0.229843359,10.69968722,-0.13740458,-0.34351145,-1.809160305,0
05-12-22,16:58:46,854076,0.450109912,0.246602771,9.880870251,0.015267176,0.34351145,-1.664122137,0
05-12-22,16:58:47,67188,0.529118567,0.220266553,9.880870251,0.06870229,-0.610687023,-0.770992366,0
05-12-22,16:58:47,279929,0.957680664,0.469263525,10.00297454,0.183206107,-0.27480916,-0.526717557,0
05-12-22,16:58:47,492939,1.565807886,0.995987891,9.040505469,0.175572519,3.763358779,-0.015267176,0
05-12-22,16:58:47,704846,0.694318481,1.103726965,9.787496387,0.198473282,0.938931298,0.076335878,0
05-12-22,16:58:47,917368,0.050278235,0.083797058,10.30464395,0.022900763,-0.778625954,-0.93129771,0
05-12-22,16:58:48,129353,-0.17238252,-0.555454785,10.71165823,0.175572519,-2.320610687,-1.893129771,0
05-12-22,16:58:48,352460,0.967257471,0.857124194,8.944737402,-0.152671756,1.419847328,-0.740458015,0
05-12-22,16:58:48,577279,1.529894861,0.814028564,9.169792358,0.251908397,0.801526718,-1.221374046,0
05-12-22,16:58:48,789749,1.041477722,1.8746599,9.248801013,-0.053435115,1.503816794,-0.007633588,0
05-12-22,16:58:49,2621,0.56263739,0.256179578,10.19211647,0.160305344,1.786259542,-0.221374046,0
05-12-22,16:58:49,215141,0.339976636,-0.464475122,10.72123503,0.099236641,-1.595419847,-1.923664122,0
05-12-22,16:58:49,428034,0.069431848,0.627280835,9.25837782,0.007633588,1.022900763,-1.335877863,0
05-12-22,16:58:49,641022,-0.270544788,1.486799231,10.39801781,-0.106870229,-0.27480916,-0.20610687,0
05-12-22,16:58:49,854819,1.28329209,-0.301669409,9.90720647,0.106870229,-0.129770992,-1.992366412,0
05-12-22,16:58:50,67273,1.228225452,0.196324536,8.530540515,-0.221374046,3.496183206,-1.175572519,0
05-12-22,16:58:50,280035,1.821987463,0.237025964,11.55920562,0.076335878,1.786259542,-1.389312977,0
05-12-22,16:58:50,493347,1.362300745,0.629675037,9.131485132,0,0.404580153,-1.160305344,0
05-12-22,16:58:50,705719,0.869095203,0.409408484,9.595960254,0.381679389,1.435114504,-1.511450382,0
05-12-22,16:58:50,918395,1.632845532,0.730231506,9.756371765,-0.236641221,2.435114504,-1.41221374,0
05-12-22,16:58:51,132765,-0.215478149,0.385466467,9.660603699,-0.061068702,-3.824427481,-0.229007634,0
05-12-22,16:58:51,345421,-0.392649072,0.366312854,10.0987426,-0.106870229,0.290076336,-0.687022901,0
05-12-22,16:58:51,558199,0.921767639,0.299275208,9.911994873,0.13740458,-0.160305344,-1.267175573,0
05-12-22,16:58:51,770623,1.132457385,0.090979663,9.670180505,0.305343511,0.564885496,-0.236641221,0
05-12-22,16:58:51,982611,0.627280835,0.359130249,10.15141504,0.083969466,0.106870229,-0.496183206,0
05-12-22,16:58:52,195307,-0.090979663,0.758961926,10.12747302,-0.114503817,0.694656489,-0.786259542,0
05-12-22,16:58:52,407198,-0.933738647,-0.119710083,9.998186133,-0.045801527,0.351145038,-1.473282443,0
05-12-22,16:58:52,620420,0.416591089,0.47644613,10.23042369,-0.007633588,-0.503816794,-0.778625954,0
05-12-22,16:58:52,832568,0.864306799,0.167594116,8.571241943,0.190839695,1.557251908,-0.671755725,0
05-12-22,16:58:53,44933,0.593762012,0.840364783,9.789890588,0.213740458,0.030534351,-0.633587786,0
05-12-22,16:58:53,257556,0.773327136,-0.083797058,9.880870251,0.053435115,0.473282443,-0.969465649,0
05-12-22,16:58:53,470112,0.557848987,0.675164868,9.923965881,0.20610687,1.870229008,-0.251908397,0
05-12-22,16:58:53,681667,-0.325611426,0.239420166,9.993397729,0.27480916,-0.145038168,-1.06870229,0
05-12-22,16:58:53,894369,-0.277727393,0.596156213,9.576806641,0.015267176,-0.236641221,-1.603053435,0
05-12-22,16:58:54,104741,0.184353528,0.509964954,10.14183823,0.030534351,-0.778625954,-1.290076336,0
05-12-22,16:58:54,315511,0.093373865,0.581791003,10.18253966,0.061068702,-0.541984733,-0.351145038,0
05-12-22,16:58:54,526174,0.435744702,0.191536133,10.13944403,0.091603053,-0.946564885,-0.671755725,0
